Date,Consumption
01-01-2006,1069.184
02-01-2006,1380.521
03-01-2006,1442.533
04-01-2006,1457.217
05-01-2006,1477.131
06-01-2006,1403.427
07-01-2006,1300.287
08-01-2006,1207.985
09-01-2006,1529.323
10-01-2006,1576.911
11-01-2006,1577.176
12-01-2006,1553.28
13-01-2006,1545.002
14-01-2006,1359.945
15-01-2006,1265.475
16-01-2006,1563.738
17-01-2006,1598.303
18-01-2006,1572.984
19-01-2006,1558.29
20-01-2006,1540.604
21-01-2006,1348.188
22-01-2006,1248.111
23-01-2006,1569.691
24-01-2006,1603.252
25-01-2006,1613.312
26-01-2006,1601.673
27-01-2006,1586.065
28-01-2006,1373.03
29-01-2006,1252.215
30-01-2006,1554.722
31-01-2006,1575.129
01-02-2006,1582.134
02-02-2006,1595.717
03-02-2006,1577.786
04-02-2006,1366.322
05-02-2006,1258.013
06-02-2006,1557.525
07-02-2006,1606.667
08-02-2006,1590.896
09-02-2006,1599.129
10-02-2006,1554.631
11-02-2006,1346.104
12-02-2006,1232.568
13-02-2006,1521.456
14-02-2006,1551.373
15-02-2006,1562.656
16-02-2006,1523.719
17-02-2006,1495.913
18-02-2006,1297.385
19-02-2006,1173.05
20-02-2006,1501.246
21-02-2006,1544.112
22-02-2006,1543.107
23-02-2006,1523.491
24-02-2006,1507.235
25-02-2006,1309.603
26-02-2006,1204.766
27-02-2006,1444.899
28-02-2006,1507.49
01-03-2006,1531.173
02-03-2006,1539.951
03-03-2006,1510.884
04-03-2006,1323.303
05-03-2006,1220.395
06-03-2006,1502.191
07-03-2006,1514.012
08-03-2006,1545.834
09-03-2006,1498.444
10-03-2006,1475.327
11-03-2006,1320.368
12-03-2006,1218.407
13-03-2006,1494.832
14-03-2006,1514.066
15-03-2006,1518.04
16-03-2006,1516.898
17-03-2006,1495.324
18-03-2006,1280.717
19-03-2006,1160.078
20-03-2006,1446.238
21-03-2006,1470.34
22-03-2006,1471.667
23-03-2006,1456.016
24-03-2006,1444.75
25-03-2006,1231.067
26-03-2006,1116.743
27-03-2006,1400.982
28-03-2006,1435.152
29-03-2006,1438.405
30-03-2006,1457.454
31-03-2006,1429.066
01-04-2006,1207.769
02-04-2006,1110.026
03-04-2006,1422.789
04-04-2006,1436.699
05-04-2006,1447.798
06-04-2006,1432.853
07-04-2006,1394.98
08-04-2006,1195.959
09-04-2006,1104.106
10-04-2006,1408.169
11-04-2006,1419.301
12-04-2006,1425.712
13-04-2006,1415.542
14-04-2006,1118.396
15-04-2006,1086.018
16-04-2006,986.875
17-04-2006,1009.094
18-04-2006,1349.563
19-04-2006,1368.456
20-04-2006,1362.217
21-04-2006,1333.266
22-04-2006,1152.943
23-04-2006,1042.414
24-04-2006,1345.851
25-04-2006,1359.806
26-04-2006,1374.322
27-04-2006,1384.681
28-04-2006,1362.57
29-04-2006,1167.24
30-04-2006,1026.352
01-05-2006,986.698
02-05-2006,1329.821
03-05-2006,1348.188
04-05-2006,1348.343
05-05-2006,1330.52
06-05-2006,1115.442
07-05-2006,998.308
08-05-2006,1321.782
09-05-2006,1353.229
10-05-2006,1351.4
11-05-2006,1337.502
12-05-2006,1320.006
13-05-2006,1123.926
14-05-2006,1010.284
15-05-2006,1317.849
16-05-2006,1360.65
17-05-2006,1346.098
18-05-2006,1365.406
19-05-2006,1348.465
20-05-2006,1175.273
21-05-2006,1050.17
22-05-2006,1358.082
23-05-2006,1374.495
24-05-2006,1339.565
25-05-2006,1053.351
26-05-2006,1213.465
27-05-2006,1108.266
28-05-2006,1065.343
29-05-2006,1349.247
30-05-2006,1376.794
31-05-2006,1380.175
01-06-2006,1367.751
02-06-2006,1323.231
03-06-2006,1100.889
04-06-2006,955.373
05-06-2006,975.632
06-06-2006,1306.362
07-06-2006,1325.818
08-06-2006,1328.546
09-06-2006,1311.784
10-06-2006,1114.527
11-06-2006,1004.853
12-06-2006,1329.591
13-06-2006,1356.201
14-06-2006,1352.012
15-06-2006,1140.329
16-06-2006,1254.954
17-06-2006,1103.62
18-06-2006,1007.067
19-06-2006,1351.989
20-06-2006,1369.855
21-06-2006,1372.489
22-06-2006,1360.594
23-06-2006,1316.964
24-06-2006,1114.386
25-06-2006,1028.869
26-06-2006,1345.379
27-06-2006,1352.603
28-06-2006,1340.042
29-06-2006,1343.637
30-06-2006,1298.103
01-07-2006,1106.618
02-07-2006,997.896
03-07-2006,1327.143
04-07-2006,1356.526
05-07-2006,1377.781
06-07-2006,1377.99
07-07-2006,1360.061
08-07-2006,1138.65
09-07-2006,1018.423
10-07-2006,1335.241
11-07-2006,1360.208
12-07-2006,1358.226
13-07-2006,1361.493
14-07-2006,1324.459
15-07-2006,1093.701
16-07-2006,993.289
17-07-2006,1305.246
18-07-2006,1333.029
19-07-2006,1342.708
20-07-2006,1351.823
21-07-2006,1333.344
22-07-2006,1136.7
23-07-2006,1025.408
24-07-2006,1330.557
25-07-2006,1349.825
26-07-2006,1356.689
27-07-2006,1348.649
28-07-2006,1327.514
29-07-2006,1122.14
30-07-2006,1010.922
31-07-2006,1289.926
01-08-2006,1303.048
02-08-2006,1291.219
03-08-2006,1284.089
04-08-2006,1262.645
05-08-2006,1087.245
06-08-2006,994.466
07-08-2006,1268.803
08-08-2006,1286.839
09-08-2006,1285.66
10-08-2006,1294.077
11-08-2006,1274.989
12-08-2006,1088.709
13-08-2006,985.959
14-08-2006,1266.844
15-08-2006,1282.22
16-08-2006,1292.058
17-08-2006,1298.837
18-08-2006,1290.869
19-08-2006,1095.066
20-08-2006,1023.166
21-08-2006,1320.274
22-08-2006,1341.316
23-08-2006,1325.545
24-08-2006,1330.924
25-08-2006,1323.755
26-08-2006,1126.495
27-08-2006,1032.319
28-08-2006,1344.455
29-08-2006,1353.885
30-08-2006,1373.313
31-08-2006,1347.763
01-09-2006,1339.468
02-09-2006,1138.742
03-09-2006,1093.767
04-09-2006,1400.634
05-09-2006,1398.368
06-09-2006,1394.28
07-09-2006,1403.4
08-09-2006,1365.061
09-09-2006,1135.574
10-09-2006,1047.285
11-09-2006,1379.243
12-09-2006,1396.303
13-09-2006,1398.321
14-09-2006,1400.087
15-09-2006,1397.504
16-09-2006,1188.876
17-09-2006,1064.353
18-09-2006,1390.863
19-09-2006,1404.479
20-09-2006,1386.332
21-09-2006,1385.803
22-09-2006,1380.783
23-09-2006,1175.308
24-09-2006,1069.175
25-09-2006,1401.1
26-09-2006,1424.304
27-09-2006,1417.328
28-09-2006,1401.731
29-09-2006,1383.458
30-09-2006,1173.168
01-10-2006,1058.268
02-10-2006,1286.932
03-10-2006,1116.572
04-10-2006,1375.636
05-10-2006,1397.459
06-10-2006,1428.592
07-10-2006,1227.91
08-10-2006,1097.087
09-10-2006,1406.128
10-10-2006,1433.588
11-10-2006,1429.996
12-10-2006,1432.512
13-10-2006,1426.507
14-10-2006,1203.526
15-10-2006,1089.685
16-10-2006,1415.474
17-10-2006,1445.882
18-10-2006,1448.511
19-10-2006,1451.647
20-10-2006,1434.666
21-10-2006,1232.339
22-10-2006,1116.473
23-10-2006,1461.803
24-10-2006,1504.192
25-10-2006,1468.365
26-10-2006,1482.747
27-10-2006,1476.272
28-10-2006,1242.024
29-10-2006,1173.761
30-10-2006,1413.066
31-10-2006,1460.399
01-11-2006,1352.658
02-11-2006,1479.071
03-11-2006,1479.9
04-11-2006,1297.959
05-11-2006,1242.064
06-11-2006,1521.545
07-11-2006,1506.669
08-11-2006,1518.364
09-11-2006,1557.411
10-11-2006,1484.26
11-11-2006,1327.664
12-11-2006,1226.642
13-11-2006,1533.554
14-11-2006,1523.361
15-11-2006,1504.301
16-11-2006,1490.779
17-11-2006,1478.095
18-11-2006,1270.72
19-11-2006,1168.114
20-11-2006,1509.712
21-11-2006,1521.778
22-11-2006,1512.51
23-11-2006,1552.044
24-11-2006,1494.088
25-11-2006,1304.453
26-11-2006,1155.541
27-11-2006,1486.959
28-11-2006,1520.421
29-11-2006,1532.762
30-11-2006,1531.525
01-12-2006,1518.198
02-12-2006,1332.812
03-12-2006,1214.524
04-12-2006,1548.124
05-12-2006,1569.48
06-12-2006,1545.3
07-12-2006,1566.124
08-12-2006,1549.681
09-12-2006,1305.841
10-12-2006,1194.85
11-12-2006,1578.983
12-12-2006,1561.264
13-12-2006,1590.009
14-12-2006,1593.613
15-12-2006,1543.073
16-12-2006,1349.181
17-12-2006,1220.188
18-12-2006,1514.852
19-12-2006,1525.667
20-12-2006,1527.593
21-12-2006,1475.71
22-12-2006,1391.579
23-12-2006,1235.688
24-12-2006,1099.201
25-12-2006,1072.746
26-12-2006,1075.922
27-12-2006,1284.676
28-12-2006,1314.603
29-12-2006,1274.646
30-12-2006,1237.751
31-12-2006,1144.398
01-01-2007,1128.843
02-01-2007,1416.669
03-01-2007,1471.586
04-01-2007,1514.823
05-01-2007,1484.168
06-01-2007,1249.663
07-01-2007,1173.687
08-01-2007,1510.013
09-01-2007,1554.889
10-01-2007,1556.122
11-01-2007,1596.639
12-01-2007,1567.453
13-01-2007,1350.886
14-01-2007,1250.781
15-01-2007,1518.88
16-01-2007,1550.792
17-01-2007,1564.22
18-01-2007,1544.324
19-01-2007,1533.347
20-01-2007,1344.002
21-01-2007,1257.521
22-01-2007,1544.182
23-01-2007,1550.71
24-01-2007,1582.538
25-01-2007,1580.233
26-01-2007,1632.587
27-01-2007,1392.674
28-01-2007,1321.527
29-01-2007,1564.383
30-01-2007,1572.655
31-01-2007,1598.002
01-02-2007,1531.493
02-02-2007,1523.781
03-02-2007,1335.646
04-02-2007,1204.853
05-02-2007,1484.894
06-02-2007,1545.558
07-02-2007,1572.704
08-02-2007,1571.158
09-02-2007,1549.471
10-02-2007,1361.316
11-02-2007,1215.285
12-02-2007,1464.08
13-02-2007,1526.139
14-02-2007,1529.17
15-02-2007,1512
16-02-2007,1485.307
17-02-2007,1302.74
18-02-2007,1180.318
19-02-2007,1375.764
20-02-2007,1451.475
21-02-2007,1502.439
22-02-2007,1484.769
23-02-2007,1478.803
24-02-2007,1320.029
25-02-2007,1190.847
26-02-2007,1449.965
27-02-2007,1510.069
28-02-2007,1505.489
01-03-2007,1524.813
02-03-2007,1508.97
03-03-2007,1278.173
04-03-2007,1138.079
05-03-2007,1487.333
06-03-2007,1500.467
07-03-2007,1479.223
08-03-2007,1468.357
09-03-2007,1453.935
10-03-2007,1256.174
11-03-2007,1128.501
12-03-2007,1413.07
13-03-2007,1438.877
14-03-2007,1439.504
15-03-2007,1436.134
16-03-2007,1443.656
17-03-2007,1322.749
18-03-2007,1245.265
19-03-2007,1489.795
20-03-2007,1486.952
21-03-2007,1510.379
22-03-2007,1542.109
23-03-2007,1517.529
24-03-2007,1335.889
25-03-2007,1157.512
26-03-2007,1439.055
27-03-2007,1442.051
28-03-2007,1442.523
29-03-2007,1453.749
30-03-2007,1414.988
31-03-2007,1232.395
01-04-2007,1116.685
02-04-2007,1394.731
03-04-2007,1447.29
04-04-2007,1434.455
05-04-2007,1438.047
06-04-2007,1108.93
07-04-2007,1119.298
08-04-2007,1005.062
09-04-2007,1051.409
10-04-2007,1392.855
11-04-2007,1406.476
12-04-2007,1390.119
13-04-2007,1374.983
14-04-2007,1172.18
15-04-2007,1046.702
16-04-2007,1363.121
17-04-2007,1385.315
18-04-2007,1410.451
19-04-2007,1428.751
20-04-2007,1391.949
21-04-2007,1164.153
22-04-2007,1043.998
23-04-2007,1367.167
24-04-2007,1392.646
25-04-2007,1389.022
26-04-2007,1381.741
27-04-2007,1362.963
28-04-2007,1165.491
29-04-2007,1036.271
30-04-2007,1221.734
01-05-2007,981.179
02-05-2007,1323.94
03-05-2007,1374.726
04-05-2007,1363.181
05-05-2007,1157.579
06-05-2007,1033.405
07-05-2007,1389.396
08-05-2007,1422.031
09-05-2007,1434.624
10-05-2007,1413.384
11-05-2007,1414.225
12-05-2007,1183.749
13-05-2007,1058.64
14-05-2007,1393.619
15-05-2007,1394.495
16-05-2007,1380.842
17-05-2007,1086.609
18-05-2007,1210.026
19-05-2007,1105.205
20-05-2007,1020.532
21-05-2007,1365.723
22-05-2007,1387.172
23-05-2007,1374.524
24-05-2007,1381.45
25-05-2007,1375.075
26-05-2007,1143.336
27-05-2007,972.974
28-05-2007,1010.256
29-05-2007,1368.066
30-05-2007,1356.556
31-05-2007,1351.997
01-06-2007,1349.473
02-06-2007,1149.59
03-06-2007,1029.239
04-06-2007,1352.52
05-06-2007,1368.802
06-06-2007,1364.531
07-06-2007,1163.954
08-06-2007,1291.584
09-06-2007,1145.432
10-06-2007,1043.243
11-06-2007,1382.614
12-06-2007,1402.822
13-06-2007,1392.685
14-06-2007,1394.073
15-06-2007,1393.974
16-06-2007,1166.588
17-06-2007,1044.366
18-06-2007,1380.744
19-06-2007,1395.691
20-06-2007,1416.318
21-06-2007,1405.108
22-06-2007,1367.783
23-06-2007,1147.464
24-06-2007,1038.627
25-06-2007,1377.469
26-06-2007,1416.017
27-06-2007,1439.9
28-06-2007,1380.981
29-06-2007,1361.396
30-06-2007,1161.874
01-07-2007,1045.584
02-07-2007,1369.471
03-07-2007,1375.39
04-07-2007,1366.085
05-07-2007,1386.822
06-07-2007,1387.832
07-07-2007,1183.696
08-07-2007,1037.251
09-07-2007,1346.085
10-07-2007,1347.019
11-07-2007,1365.205
12-07-2007,1366.847
13-07-2007,1346.501
14-07-2007,1143.953
15-07-2007,1037.757
16-07-2007,1360.83
17-07-2007,1374.629
18-07-2007,1372.019
19-07-2007,1370.079
20-07-2007,1356.929
21-07-2007,1146.038
22-07-2007,1033.964
23-07-2007,1335.654
24-07-2007,1383.808
25-07-2007,1358.899
26-07-2007,1343.761
27-07-2007,1341.888
28-07-2007,1134.28
29-07-2007,1035.021
30-07-2007,1338.61
31-07-2007,1323.255
01-08-2007,1313.296
02-08-2007,1355.736
03-08-2007,1277.31
04-08-2007,1101.342
05-08-2007,1039.507
06-08-2007,1341.397
07-08-2007,1395.238
08-08-2007,1371.998
09-08-2007,1344.038
10-08-2007,1328.248
11-08-2007,1104.216
12-08-2007,997.376
13-08-2007,1300.651
14-08-2007,1346.987
15-08-2007,1348.552
16-08-2007,1308.936
17-08-2007,1281.584
18-08-2007,1127.393
19-08-2007,1025.3
20-08-2007,1373.403
21-08-2007,1393.059
22-08-2007,1411.963
23-08-2007,1406.478
24-08-2007,1360.429
25-08-2007,1138.67
26-08-2007,1025.367
27-08-2007,1364.066
28-08-2007,1390.286
29-08-2007,1422.812
30-08-2007,1421.014
31-08-2007,1404.533
01-09-2007,1193.544
02-09-2007,1099.489
03-09-2007,1424.461
04-09-2007,1411.292
05-09-2007,1407.592
06-09-2007,1430.784
07-09-2007,1429.646
08-09-2007,1246.981
09-09-2007,1130.733
10-09-2007,1443.708
11-09-2007,1439.069
12-09-2007,1431.079
13-09-2007,1411.745
14-09-2007,1411.93
15-09-2007,1235.884
16-09-2007,1092.305
17-09-2007,1425.488
18-09-2007,1461.307
19-09-2007,1443.422
20-09-2007,1438.282
21-09-2007,1417.439
22-09-2007,1209.763
23-09-2007,1103.904
24-09-2007,1430.922
25-09-2007,1455.46
26-09-2007,1452.04
27-09-2007,1501.586
28-09-2007,1465.401
29-09-2007,1260.661
30-09-2007,1129.808
01-10-2007,1418.342
02-10-2007,1445.997
03-10-2007,1158.327
04-10-2007,1428.652
05-10-2007,1414.107
06-10-2007,1214.732
07-10-2007,1106.199
08-10-2007,1439.71
09-10-2007,1470.859
10-10-2007,1466.585
11-10-2007,1470.398
12-10-2007,1499.287
13-10-2007,1228.714
14-10-2007,1117.732
15-10-2007,1449.268
16-10-2007,1472.721
17-10-2007,1497.805
18-10-2007,1507.164
19-10-2007,1501.243
20-10-2007,1279.587
21-10-2007,1190.55
22-10-2007,1506.371
23-10-2007,1538.694
24-10-2007,1540.721
25-10-2007,1522.027
26-10-2007,1506.312
27-10-2007,1296.302
28-10-2007,1185.017
29-10-2007,1506.281
30-10-2007,1514.627
31-10-2007,1472.331
01-11-2007,1300.805
02-11-2007,1408.209
03-11-2007,1287.15
04-11-2007,1186.636
05-11-2007,1494.452
06-11-2007,1591.535
07-11-2007,1644.873
08-11-2007,1580.649
09-11-2007,1610.09
10-11-2007,1373.29
11-11-2007,1238.464
12-11-2007,1553.367
13-11-2007,1561.059
14-11-2007,1556.708
15-11-2007,1539.716
16-11-2007,1544.613
17-11-2007,1349.997
18-11-2007,1224.475
19-11-2007,1558.245
20-11-2007,1573.769
21-11-2007,1552.344
22-11-2007,1548.079
23-11-2007,1532.874
24-11-2007,1351.308
25-11-2007,1294.132
26-11-2007,1599.772
27-11-2007,1595.457
28-11-2007,1587.481
29-11-2007,1610.842
30-11-2007,1586.737
01-12-2007,1385.024
02-12-2007,1299.624
03-12-2007,1617.784
04-12-2007,1593.123
05-12-2007,1591.552
06-12-2007,1587.45
07-12-2007,1615
08-12-2007,1380.693
09-12-2007,1246.85
10-12-2007,1545.319
11-12-2007,1571.093
12-12-2007,1574.249
13-12-2007,1556.444
14-12-2007,1546.376
15-12-2007,1340.326
16-12-2007,1247.58
17-12-2007,1543.455
18-12-2007,1564.052
19-12-2007,1557.209
20-12-2007,1531.29
21-12-2007,1457.683
22-12-2007,1305.698
23-12-2007,1226.681
24-12-2007,1168.744
25-12-2007,1112.363
26-12-2007,1120.251
27-12-2007,1287.245
28-12-2007,1308.594
29-12-2007,1256.51
30-12-2007,1142.201
31-12-2007,1145.582
01-01-2008,1083.424
02-01-2008,1396.483
03-01-2008,1523.427
04-01-2008,1512.429
05-01-2008,1355.843
06-01-2008,1209.011
07-01-2008,1542.984
08-01-2008,1565.447
09-01-2008,1561.768
10-01-2008,1571.959
11-01-2008,1551.756
12-01-2008,1355.192
13-01-2008,1225.854
14-01-2008,1556.149
15-01-2008,1596.221
16-01-2008,1575.663
17-01-2008,1548.472
18-01-2008,1549.215
19-01-2008,1352.255
20-01-2008,1224.458
21-01-2008,1552.516
22-01-2008,1565.022
23-01-2008,1557.643
24-01-2008,1568.373
25-01-2008,1599.434
26-01-2008,1409.606
27-01-2008,1272.86
28-01-2008,1516.204
29-01-2008,1531.764
30-01-2008,1556.646
31-01-2008,1593.5
01-02-2008,1604.691
02-02-2008,1355.376
03-02-2008,1223.609
04-02-2008,1481.154
05-02-2008,1536.143
06-02-2008,1572.79
07-02-2008,1566.609
08-02-2008,1503.415
09-02-2008,1293.027
10-02-2008,1179.2
11-02-2008,1492.048
12-02-2008,1523.91
13-02-2008,1542.293
14-02-2008,1556.974
15-02-2008,1538.604
16-02-2008,1326.761
17-02-2008,1229.443
18-02-2008,1560.866
19-02-2008,1554.795
20-02-2008,1551.603
21-02-2008,1571.934
22-02-2008,1606.299
23-02-2008,1361.091
24-02-2008,1191.572
25-02-2008,1507.333
26-02-2008,1557.302
27-02-2008,1582.078
28-02-2008,1513.179
29-02-2008,1502.001
01-03-2008,1375.903
02-03-2008,1265.889
03-03-2008,1519.856
04-03-2008,1545.508
05-03-2008,1529.23
06-03-2008,1570.612
07-03-2008,1488.568
08-03-2008,1283.302
09-03-2008,1182.81
10-03-2008,1484.846
11-03-2008,1531.191
12-03-2008,1571.014
13-03-2008,1573.429
14-03-2008,1510.365
15-03-2008,1267.466
16-03-2008,1165.851
17-03-2008,1508.6
18-03-2008,1512.219
19-03-2008,1502.994
20-03-2008,1492.826
21-03-2008,1228.325
22-03-2008,1208.581
23-03-2008,1088.27
24-03-2008,1115.513
25-03-2008,1464.363
26-03-2008,1529.734
27-03-2008,1495.959
28-03-2008,1460.372
29-03-2008,1281.289
30-03-2008,1167.593
31-03-2008,1435.773
01-04-2008,1468.038
02-04-2008,1488.001
03-04-2008,1491.993
04-04-2008,1465.897
05-04-2008,1271.197
06-04-2008,1156.181
07-04-2008,1471.491
08-04-2008,1472.065
09-04-2008,1476.398
10-04-2008,1478.682
11-04-2008,1454.682
12-04-2008,1229.588
13-04-2008,1119.972
14-04-2008,1456.913
15-04-2008,1482.648
16-04-2008,1467.958
17-04-2008,1458.33
18-04-2008,1435.367
19-04-2008,1259.607
20-04-2008,1110.038
21-04-2008,1457.043
22-04-2008,1484.834
23-04-2008,1420.243
24-04-2008,1416.933
25-04-2008,1401.472
26-04-2008,1183.262
27-04-2008,1065.066
28-04-2008,1409.408
29-04-2008,1419.492
30-04-2008,1374.498
01-05-2008,1026.167
02-05-2008,1201.579
03-05-2008,1109.653
04-05-2008,1031.472
05-05-2008,1357.382
06-05-2008,1382.96
07-05-2008,1379.221
08-05-2008,1370.643
09-05-2008,1344
10-05-2008,1120.047
11-05-2008,957.026
12-05-2008,989.434
13-05-2008,1332.15
14-05-2008,1368.785
15-05-2008,1380.475
16-05-2008,1367.001
17-05-2008,1184.424
18-05-2008,1062.978
19-05-2008,1363.607
20-05-2008,1370.487
21-05-2008,1370.915
22-05-2008,1163.613
23-05-2008,1258.231
24-05-2008,1128.052
25-05-2008,1050.947
26-05-2008,1381.911
27-05-2008,1398.667
28-05-2008,1429.284
29-05-2008,1409.855
30-05-2008,1399.015
31-05-2008,1190.04
01-06-2008,1060.393
02-06-2008,1379.592
03-06-2008,1389.905
04-06-2008,1397.524
05-06-2008,1393.859
06-06-2008,1357.035
07-06-2008,1165.5
08-06-2008,1045.6
09-06-2008,1355.783
10-06-2008,1380.759
11-06-2008,1371.815
12-06-2008,1368.108
13-06-2008,1346.021
14-06-2008,1133.244
15-06-2008,1035.383
16-06-2008,1343.318
17-06-2008,1368.623
18-06-2008,1373.078
19-06-2008,1371.182
20-06-2008,1340.465
21-06-2008,1139.909
22-06-2008,1060.216
23-06-2008,1380.828
24-06-2008,1368.77
25-06-2008,1383.384
26-06-2008,1373.551
27-06-2008,1372.462
28-06-2008,1163.012
29-06-2008,1038.172
30-06-2008,1346.422
01-07-2008,1380.288
02-07-2008,1397.098
03-07-2008,1404.763
04-07-2008,1355.638
05-07-2008,1129.876
06-07-2008,1041.709
07-07-2008,1338.199
08-07-2008,1370.67
09-07-2008,1369.517
10-07-2008,1369.54
11-07-2008,1352.139
12-07-2008,1146.634
13-07-2008,1029.243
14-07-2008,1324.471
15-07-2008,1345.819
16-07-2008,1359.372
17-07-2008,1362.253
18-07-2008,1333.615
19-07-2008,1119.765
20-07-2008,1031.074
21-07-2008,1334.297
22-07-2008,1334.409
23-07-2008,1326.747
24-07-2008,1324.874
25-07-2008,1314.228
26-07-2008,1142.574
27-07-2008,1039.321
28-07-2008,1330.953
29-07-2008,1359.079
30-07-2008,1350.439
31-07-2008,1350.253
01-08-2008,1328.425
02-08-2008,1117.795
03-08-2008,1046.408
04-08-2008,1349.001
05-08-2008,1344.579
06-08-2008,1334.72
07-08-2008,1359.001
08-08-2008,1327.802
09-08-2008,1132.256
10-08-2008,1047.261
11-08-2008,1340.211
12-08-2008,1385.901
13-08-2008,1375.108
14-08-2008,1359.224
15-08-2008,1307.532
16-08-2008,1126.097
17-08-2008,1031.6
18-08-2008,1337.886
19-08-2008,1373.632
20-08-2008,1371.919
21-08-2008,1360.072
22-08-2008,1352.729
23-08-2008,1152.011
24-08-2008,1043.285
25-08-2008,1346.973
26-08-2008,1372.02
27-08-2008,1378.079
28-08-2008,1397.458
29-08-2008,1376.338
30-08-2008,1133.253
31-08-2008,1040.452
01-09-2008,1386.419
02-09-2008,1399.869
03-09-2008,1409.421
04-09-2008,1405.844
05-09-2008,1369.44
06-09-2008,1177.626
07-09-2008,1073.273
08-09-2008,1368.883
09-09-2008,1385.615
10-09-2008,1416.681
11-09-2008,1406.622
12-09-2008,1409.787
13-09-2008,1177.786
14-09-2008,1055.011
15-09-2008,1395.105
16-09-2008,1426.671
17-09-2008,1429.348
18-09-2008,1425.22
19-09-2008,1396.562
20-09-2008,1182.659
21-09-2008,1098.646
22-09-2008,1432.421
23-09-2008,1471.072
24-09-2008,1451.046
25-09-2008,1455.36
26-09-2008,1404.2
27-09-2008,1182.677
28-09-2008,1092.82
29-09-2008,1415.974
30-09-2008,1486.405
01-10-2008,1519.184
02-10-2008,1475.456
03-10-2008,1145.489
04-10-2008,1166.78
05-10-2008,1170.868
06-10-2008,1425.122
07-10-2008,1441.127
08-10-2008,1438.879
09-10-2008,1440.893
10-10-2008,1414.967
11-10-2008,1217.037
12-10-2008,1105.859
13-10-2008,1426.102
14-10-2008,1453.235
15-10-2008,1472.339
16-10-2008,1503.075
17-10-2008,1467.77
18-10-2008,1228.575
19-10-2008,1146.579
20-10-2008,1446.064
21-10-2008,1494.947
22-10-2008,1491.166
23-10-2008,1479.125
24-10-2008,1457.668
25-10-2008,1232.862
26-10-2008,1188.091
27-10-2008,1471.108
28-10-2008,1502.589
29-10-2008,1501.806
30-10-2008,1501.929
31-10-2008,1408.747
01-11-2008,1181.148
02-11-2008,1126.57
03-11-2008,1438.222
04-11-2008,1460.009
05-11-2008,1470.287
06-11-2008,1473.127
07-11-2008,1448.528
08-11-2008,1244.168
09-11-2008,1183.714
10-11-2008,1519.742
11-11-2008,1521.103
12-11-2008,1503.844
13-11-2008,1489.027
14-11-2008,1485.666
15-11-2008,1286.46
16-11-2008,1202.267
17-11-2008,1466.185
18-11-2008,1533.402
19-11-2008,1557.775
20-11-2008,1587.9
21-11-2008,1495.77
22-11-2008,1306.652
23-11-2008,1211.173
24-11-2008,1499.246
25-11-2008,1532.641
26-11-2008,1553.878
27-11-2008,1545.397
28-11-2008,1484.277
29-11-2008,1268.967
30-11-2008,1178.042
01-12-2008,1491.789
02-12-2008,1538.111
03-12-2008,1541.102
04-12-2008,1535.108
05-12-2008,1474
06-12-2008,1254.08
07-12-2008,1167.657
08-12-2008,1486.874
09-12-2008,1517.789
10-12-2008,1513.498
11-12-2008,1512.489
12-12-2008,1469.565
13-12-2008,1292.95
14-12-2008,1182.781
15-12-2008,1447.775
16-12-2008,1469.645
17-12-2008,1466.277
18-12-2008,1424.95
19-12-2008,1361.965
20-12-2008,1258.028
21-12-2008,1129.423
22-12-2008,1299.522
23-12-2008,1226.172
24-12-2008,1086.798
25-12-2008,1002.092
26-12-2008,1006.087
27-12-2008,1097.525
28-12-2008,1047.014
29-12-2008,1198.295
30-12-2008,1199.765
31-12-2008,1117.617
01-01-2009,1018.975
02-01-2009,1161.911
